brand_cn,brand_en,brand_slug,title,price_usd,length_mm,ring_gauge,handle,category_slug,cuban_parent_slug,image1,image2,image3,image4,image5
高希霸,COHIBA,cohiba,御守护身符首版 Talisman 2017LE (Batch 2017) (10枝),4483,154,54,cohiba-batch-2017,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260394189-COHIBA_Talisman_2017_1.jpg,https://api.shangjiacigar.com/static/1774260394190-COHIBA_Talisman_2017_2.jpg,,,
高希霸,COHIBA,cohiba,贝伊可52 BEHIKE 52 (10枝),3786,119,52,cohiba-52-behike-52-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260394190-COHIBA_BEHIKE_52_1.jpg,,,,
高希霸,COHIBA,cohiba,贝伊可54 BEHIKE 54(10枝),4450,144,54,cohiba-54-behike-54-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260394190-COHIBA_BEHIKE_54_1.jpg,,,,
高希霸,COHIBA,cohiba,贝伊可56 BEHIKE 56(10枝),5978,166,56,cohiba-56-behike-56-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260394190-COHIBA_BEHIKE_56_1.jpg,,,,
高希霸,COHIBA,cohiba,罗伯图铝管 ROBUSTO A/T (15枝),1960,124,50,cohiba-robusto-a-t-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260396478-COHIBA_ROBUSTO_AT_1.jpg,https://api.shangjiacigar.com/static/1774260396479-COHIBA_ROBUSTO_AT_2.jpg,,,
高希霸,COHIBA,cohiba,罗伯图铝管 ROBUSTO A/T (3枝),396,124,50,cohiba-robusto-a-t-3,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,罗伯图 ROBUSTOS (25枝),2856,124,50,cohiba-robustos-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260396481-COHIBA_ROBUSTOS_1.jpg,https://api.shangjiacigar.com/static/1774260396484-COHIBA_ROBUSTOS_2.jpg,,,
高希霸,COHIBA,cohiba,马杜罗5奥秘小天才 MADURO 5 SECRETOS (25枝),2126,110,40,cohiba-5-maduro-5-secretos-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260396483-COHIBA_MADURO_5_SECRETOS_1.jpg,,,,
高希霸,COHIBA,cohiba,大天才 GENIOS (10枝),1910,140,52,cohiba-genios-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260400124-COHIBA_GENIOS_1.jpg,https://api.shangjiacigar.com/static/1774260400133-COHIBA_GENIOS_2.jpg,https://api.shangjiacigar.com/static/1774260400140-COHIBA_GENIOS_3.jpg,https://api.shangjiacigar.com/static/1774260400143-COHIBA_GENIOS_4.jpg,
高希霸,COHIBA,cohiba,大天才 GENIOS (25枝),4566,140,52,cohiba-genios-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,半世纪铝管 MEDIO SIGLO A/T (15枝),1744,102,52,cohiba-medio-siglo-a-t-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260400147-COHIBA_MEDIO_SIGLO_AT_1.jpg,https://api.shangjiacigar.com/static/1774260402190-COHIBA_MEDIO_SIGLO_AT_2.jpg,https://api.shangjiacigar.com/static/1774260402190-COHIBA_MEDIO_SIGLO_AT_3.jpg,https://api.shangjiacigar.com/static/1774260402190-COHIBA_Siglo_IV_1.jpg,https://api.shangjiacigar.com/static/1774260402191-COHIBA_Siglo_IV_2.jpg
高希霸,COHIBA,cohiba,半世纪 MEDIO SIGLO (25枝),2458,102,52,cohiba-medio-siglo-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260402195-COHIBA_MEDIO_SIGLO_25_1.jpg,https://api.shangjiacigar.com/static/1774260404075-COHIBA_MEDIO_SIGLO_25_2.jpg,https://api.shangjiacigar.com/static/1774260404075-COHIBA_Siglo_I_25_1.jpg,,
高希霸,COHIBA,cohiba,世纪1号 Siglo I (5枝),266,102,40,cohiba-1-siglo-i-5,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪1号 Siglo I (25枝)(18、19年老茄),1296,102,40,cohiba-1-siglo-i-25-18-19,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪2号铝管 Siglo II A/T(15枝),1176,129,42,cohiba-2-siglo-ii-a-t-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260404076-COHIBA_Siglo_II_AT_1.jpg,https://api.shangjiacigar.com/static/1774260404076-COHIBA_Siglo_II_AT_2.jpg,,,
高希霸,COHIBA,cohiba,世纪2号 Siglo II (25枝),1960,129,42,cohiba-2-siglo-ii-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260404077-COHIBA_Siglo_II_25_1.jpg,,,,
高希霸,COHIBA,cohiba,世纪2号纸盒 Siglo II (25枝),1960,129,42,cohiba-2-siglo-ii-25-2,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪3号 Siglo III (15枝),1558,155,42,cohiba-3-siglo-iii-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260406235-COHIBA_Siglo_III_1.jpg,https://api.shangjiacigar.com/static/1774260406235-COHIBA_Siglo_III_2.jpg,https://api.shangjiacigar.com/static/1774260406238-COHIBA_Siglo_III_3.jpg,,
高希霸,COHIBA,cohiba,世纪3号 Siglo III (25枝),2574,155,42,cohiba-3-siglo-iii-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260406245-COHIBA_MEDIO_SIGLO_1.jpg,https://api.shangjiacigar.com/static/1774260406243-COHIBA_MEDIO_SIGLO_2.jpg,https://api.shangjiacigar.com/static/1774260408984-COHIBA_MEDIO_SIGLO_3.jpg,https://api.shangjiacigar.com/static/1774260408990-COHIBA_Siglo_III_1.jpg,https://api.shangjiacigar.com/static/1774260408991-COHIBA_Siglo_III_2.jpg
高希霸,COHIBA,cohiba,世纪4号 Siglo IV (15枝),1628,143,46,cohiba-4-siglo-iv-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260408995-COHIBA_Siglo_IV_1.jpg,https://api.shangjiacigar.com/static/1774260409000-COHIBA_Siglo_IV_2.jpg,https://api.shangjiacigar.com/static/1774260411566-COHIBA_Siglo_IV_3.jpg,,
